候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
9788,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-07|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
9789,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-07|S001-FOD-03|S001-HYG-02,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9790,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-07|S001-HYG-01,5,51.0,0.128,2.3387422645099027,1448.6555751004735,80.0,0.25,1,68.0
9791,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-07|S001-HYG-01|S001-HYG-02,6,57.0,0.163,2.4378442537231253,1514.6555751004735,80.0,0.25,1,76.0
9792,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-07|S001-HYG-02,5,51.0,0.128,2.3387422645099027,1448.6555751004735,80.0,0.25,1,68.0
9793,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08,4,45.0,0.093,2.2563788999976477,1382.6555751004735,80.0,0.25,1,60.0
9794,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01,5,53.0,0.121,2.369709292588263,1448.6555751004735,80.0,0.25,1,70.0
9795,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9796,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03,7,69.0,0.177,2.7083736701485943,1580.6555751004735,80.0,0.25,1,90.0
9797,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,8,75.0,0.212,2.898223434597758,1646.6555751004735,80.0,0.25,1,98.0
9798,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,8,75.0,0.212,2.898223434597758,1646.6555751004735,80.0,0.25,1,98.0
9799,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9800,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9801,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9802,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-03,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9803,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9804,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9805,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9806,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-HYG-01,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9807,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
9808,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-01|S001-HYG-02,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9809,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02,5,53.0,0.121,2.369709292588263,1448.6555751004735,80.0,0.25,1,70.0
9810,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-FOD-03,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9811,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9812,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9813,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9814,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-HYG-01,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9815,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
9816,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-02|S001-HYG-02,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9817,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-03,5,53.0,0.121,2.369709292588263,1448.6555751004735,80.0,0.25,1,70.0
9818,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-03|S001-HYG-01,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9819,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
9820,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-FOD-03|S001-HYG-02,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9821,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-HYG-01,5,51.0,0.128,2.3387422645099027,1448.6555751004735,80.0,0.25,1,68.0
9822,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-HYG-01|S001-HYG-02,6,57.0,0.163,2.4378442537231253,1514.6555751004735,80.0,0.25,1,76.0
9823,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-WAT-08|S001-HYG-02,5,51.0,0.128,2.3387422645099027,1448.6555751004735,80.0,0.25,1,68.0
9824,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01,4,39.0,0.094,2.187306829224604,1382.6555751004735,80.0,0.25,1,58.0
9825,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02,5,47.0,0.122,2.282210587926635,1448.6555751004735,80.0,0.25,1,68.0
9826,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-FOD-03,6,55.0,0.15,2.402683375290265,1514.6555751004735,80.0,0.25,1,78.0
9827,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,61.0,0.185,2.515568510859422,1580.6555751004735,80.0,0.25,1,86.0
9828,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,67.0,0.22,2.654655157207774,1646.6555751004735,80.0,0.25,1,94.0
9829,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,61.0,0.185,2.515568510859422,1580.6555751004735,80.0,0.25,1,86.0
9830,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-HYG-01,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9831,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,59.0,0.192,2.475395513627724,1580.6555751004735,80.0,0.25,1,84.0
9832,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-02|S001-HYG-02,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9833,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-03,5,47.0,0.122,2.282210587926635,1448.6555751004735,80.0,0.25,1,68.0
9834,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-03|S001-HYG-01,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9835,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,59.0,0.192,2.475395513627724,1580.6555751004735,80.0,0.25,1,84.0
9836,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-FOD-03|S001-HYG-02,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9837,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-HYG-01,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9838,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-HYG-01|S001-HYG-02,6,51.0,0.164,2.3387422645099027,1514.6555751004735,80.0,0.25,1,74.0
9839,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-01|S001-HYG-02,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9840,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02,4,39.0,0.094,2.187306829224604,1382.6555751004735,80.0,0.25,1,58.0
9841,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-FOD-03,5,47.0,0.122,2.282210587926635,1448.6555751004735,80.0,0.25,1,68.0
9842,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-FOD-03|S001-HYG-01,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9843,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,59.0,0.192,2.475395513627724,1580.6555751004735,80.0,0.25,1,84.0
9844,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-FOD-03|S001-HYG-02,6,53.0,0.157,2.369709292588263,1514.6555751004735,80.0,0.25,1,76.0
9845,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-HYG-01,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9846,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-HYG-01|S001-HYG-02,6,51.0,0.164,2.3387422645099027,1514.6555751004735,80.0,0.25,1,74.0
9847,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-02|S001-HYG-02,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9848,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-03,4,39.0,0.094,2.187306829224604,1382.6555751004735,80.0,0.25,1,58.0
9849,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-03|S001-HYG-01,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9850,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-03|S001-HYG-01|S001-HYG-02,6,51.0,0.164,2.3387422645099027,1514.6555751004735,80.0,0.25,1,74.0
9851,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-FOD-03|S001-HYG-02,5,45.0,0.129,2.2563788999976477,1448.6555751004735,80.0,0.25,1,66.0
9852,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-HYG-01,4,37.0,0.101,2.1667912744853814,1382.6555751004735,80.0,0.25,1,56.0
9853,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-HYG-01|S001-HYG-02,5,43.0,0.136,2.2320159786090623,1448.6555751004735,80.0,0.25,1,64.0
9854,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-04|S001-HYG-02,4,37.0,0.101,2.1667912744853814,1382.6555751004735,80.0,0.25,1,56.0
9855,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05,3,31.0,0.066,2.1117647654991556,1316.6555751004735,80.0,0.25,1,48.0
9856,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06,4,45.0,0.093,2.2563788999976477,1382.6555751004735,80.0,0.25,1,60.0
9857,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07,5,59.0,0.12,2.475395513627724,1448.6555751004735,80.0,0.25,1,72.0
9858,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08,6,73.0,0.147,2.8295653088574673,1514.6555751004735,80.0,0.25,1,84.0
9859,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-HYG-01,7,79.0,0.182,3.055478979619155,1580.6555751004735,80.0,0.25,1,92.0
9860,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-HYG-02,7,79.0,0.182,3.055478979619155,1580.6555751004735,80.0,0.25,1,92.0
9861,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9862,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9863,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-03,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9864,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9865,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9866,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9867,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-02,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9868,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-FOD-03,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9869,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9870,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9871,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9872,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-03,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9873,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9874,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9875,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9876,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-HYG-01,6,65.0,0.155,2.6048734955934103,1514.6555751004735,80.0,0.25,1,80.0
9877,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-HYG-01|S001-HYG-02,7,71.0,0.19,2.7664954571859885,1580.6555751004735,80.0,0.25,1,88.0
9878,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-HYG-02,6,65.0,0.155,2.6048734955934103,1514.6555751004735,80.0,0.25,1,80.0
9879,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08,5,59.0,0.12,2.475395513627724,1448.6555751004735,80.0,0.25,1,72.0
9880,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9881,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9882,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-03,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9883,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9884,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9885,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9886,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-02,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9887,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-FOD-03,7,75.0,0.176,2.898223434597758,1580.6555751004735,80.0,0.25,1,92.0
9888,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9889,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9890,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9891,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-03,6,67.0,0.148,2.654655157207774,1514.6555751004735,80.0,0.25,1,82.0
9892,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-01,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9893,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,79.0,0.218,3.055478979619155,1646.6555751004735,80.0,0.25,1,98.0
9894,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-02,7,73.0,0.183,2.8295653088574673,1580.6555751004735,80.0,0.25,1,90.0
9895,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-HYG-01,6,65.0,0.155,2.6048734955934103,1514.6555751004735,80.0,0.25,1,80.0
9896,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-HYG-01|S001-HYG-02,7,71.0,0.19,2.7664954571859885,1580.6555751004735,80.0,0.25,1,88.0
9897,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-WAT-08|S001-HYG-02,6,65.0,0.155,2.6048734955934103,1514.6555751004735,80.0,0.25,1,80.0
9898,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01,5,53.0,0.121,2.369709292588263,1448.6555751004735,80.0,0.25,1,70.0
9899,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9900,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03,7,69.0,0.177,2.7083736701485943,1580.6555751004735,80.0,0.25,1,90.0
9901,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,8,75.0,0.212,2.898223434597758,1646.6555751004735,80.0,0.25,1,98.0
9902,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,8,75.0,0.212,2.898223434597758,1646.6555751004735,80.0,0.25,1,98.0
9903,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9904,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9905,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9906,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-03,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9907,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9908,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9909,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9910,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-HYG-01,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9911,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
9912,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-01|S001-HYG-02,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9913,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02,5,53.0,0.121,2.369709292588263,1448.6555751004735,80.0,0.25,1,70.0
9914,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-FOD-03,6,61.0,0.149,2.515568510859422,1514.6555751004735,80.0,0.25,1,80.0
9915,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9916,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,73.0,0.219,2.8295653088574673,1646.6555751004735,80.0,0.25,1,96.0
9917,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,67.0,0.184,2.654655157207774,1580.6555751004735,80.0,0.25,1,88.0
9918,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-HYG-01,6,59.0,0.156,2.475395513627724,1514.6555751004735,80.0,0.25,1,78.0
9919,S001,C,S001-WAT-01|S001-MED-02|S001-WAT-05|S001-WAT-06|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,65.0,0.191,2.6048734955934103,1580.6555751004735,80.0,0.25,1,86.0
